!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:11:50 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.95102171336e-009, +8.31302025248e+006
+4.00000000000e+001, +1.81156443611e-008, -1.36917858857e+005
+6.00000000000e+001, +8.65772250993e-009, -1.14055047922e+005
+8.00000000000e+001, +5.74855239175e-009, +5.99673865653e+005
+1.00000000000e+002, -1.80963182737e-008, +3.16891777833e+005
+1.20000000000e+002, -1.10446354261e-008, +4.01888062208e+005
+1.40000000000e+002, -6.92364395292e-009, +5.28221227639e+005
+1.60000000000e+002, -3.97062614400e-009, +7.22574840240e+005
+1.80000000000e+002, -1.92853606533e-009, +1.05733520094e+006
+2.00000000000e+002, -7.10752653172e-010, +1.73214002129e+006
+2.20000000000e+002, -7.86608157362e-010, +1.65634852059e+006
+2.40000000000e+002, -8.98280534571e-010, +1.53665257414e+006
+2.60000000000e+002, -1.08542680281e-009, +1.50149816447e+006
+2.80000000000e+002, -1.29134651208e-009, +1.43185370205e+006
+3.00000000000e+002, -9.88528778973e-010, +1.42080478958e+006
+3.20000000000e+002, -1.51623385363e-009, +1.24171512442e+006
+3.40000000000e+002, -1.20103432995e-009, +1.29232095253e+006
+3.60000000000e+002, -1.55900974833e-009, +1.26935100709e+006
+3.80000000000e+002, -1.41972065926e-009, +1.21511459101e+006
+4.00000000000e+002, -1.96102042736e-009, +1.11106176163e+006
+4.20000000000e+002, -2.17500143495e-009, +1.20831589461e+006
+4.40000000000e+002, -2.96850650670e-009, +1.13003929482e+006
+4.60000000000e+002, -1.85891255052e-009, +1.11728072136e+006
+4.80000000000e+002, -2.54323810180e-009, +1.09823188300e+006
+5.00000000000e+002, -3.13723304030e-009, +1.07964296577e+006
END
